# "T","u","v","w","p","k","mu","vel_penalty_:0","vel_penalty_:1","vel_penalty_:2","vel_source_:0","vel_source_:1","vel_source_:2","Points:0","Points:1","Points:2"
318.67,0.28423,-0.53732,-0.61936,-5.4013,13.12,0.00923,0,0,0,0,0,0,0.36,0,2.5
319.01,0.29913,-0.57004,-0.57768,-5.3459,13.12,0.00923,0,0,0,0,0,0,0.39229,0,2.5
319.71,0.31581,-0.65508,-0.51327,-5.2495,13.12,0.00923,0,0,0,0,0,0,0.48,0,2.5
319.93,0.31998,-0.65403,-0.44137,-5.1964,13.12,0.00923,0,0,0,0,0,0,0.51229,0,2.5
320.48,0.31053,-0.69455,-0.33403,-5.0864,13.12,0.00923,0,0,0,0,0,0,0.6,0,2.5
320.44,0.29166,-0.66137,-0.22928,-5.0452,13.12,0.00923,0,0,0,0,0,0,0.63229,0,2.5
320.48,0.22618,-0.61204,-0.084143,-4.9604,13.12,0.00923,0,0,0,0,0,0,0.72,0,2.5
323.55,-0.32069,0.78855,1.5492,-4.8122,13.12,0.00923,0,0,0,0,0,0,-0.92771,0,2.5
321.69,-0.17274,0.4807,0.46745,-4.8977,13.12,0.00923,0,0,0,0,0,0,-0.84,0,2.5
321.69,-0.21164,0.53421,0.35111,-4.9193,13.12,0.00923,0,0,0,0,0,0,-0.80771,0,2.5
320.47,-0.22773,0.5753,-0.073247,-4.969,13.12,0.00923,0,0,0,0,0,0,-0.72,0,2.5
320.48,-0.24937,0.60955,-0.16959,-5.008,13.12,0.00923,0,0,0,0,0,0,-0.68771,0,2.5
320.34,-0.31719,0.65692,-0.2932,-5.0859,13.12,0.00923,0,0,0,0,0,0,-0.6,0,2.5
320.11,-0.31351,0.65854,-0.36231,-5.1368,13.12,0.00923,0,0,0,0,0,0,-0.56771,0,2.5
319.55,-0.32415,0.62054,-0.45588,-5.2373,13.12,0.00923,0,0,0,0,0,0,-0.48,0,2.5
319.2,-0.30751,0.5887,-0.49918,-5.2905,13.12,0.00923,0,0,0,0,0,0,-0.44771,0,2.5
318.52,-0.28642,0.51109,-0.56042,-5.3785,13.12,0.00923,0,0,0,0,0,0,-0.36,0,2.5
318.17,-0.26145,0.45296,-0.6134,-5.4233,13.12,0.00923,0,0,0,0,0,0,-0.32771,0,2.5
317.59,-0.21871,0.356,-0.70145,-5.4858,13.12,0.00923,0,0,0,0,0,0,-0.24,0,2.5
